"id","hs4","cpf4","coef"
1,"1007","0111",0.0623145
2,"1008","0111",0.0623145
3,"0713","0111",0.0623145
4,"0708","0111",0.0623145
5,"1001","0111",0.0623145
6,"1002","0111",0.0623145
7,"1003","0111",0.0623145
8,"1004","0111",0.0623145
9,"1207","0111",0.0311573
10,"1206","0111",0.0623145
11,"1005","0111",0.0623145
12,"1205","0111",0.0623145
13,"1204","0111",0.0623145
14,"9920","0111",0.0029674
15,"1213","0111",0.0623145
16,"1202","0111",0.0311573
17,"1201","0111",0.0623145
18,"1299","0111",0.0623145
19,"1006","0112",1.0
20,"0709","0113",0.0529101
21,"0714","0113",0.1058201
22,"0707","0113",0.1058201
23,"0706","0113",0.1058201
24,"0705","0113",0.1058201
25,"0704","0113",0.1058201
26,"1212","0113",0.021164
27,"0703","0113",0.1058201
28,"0702","0113",0.1058201
29,"0701","0113",0.1058201
30,"1209","0113",0.026455
31,"0807","0113",0.0529101
32,"1212","0114",1.0
33,"2401","0115",1.0
34,"5303","0116",0.1428571
35,"1207","0116",0.1428571
36,"5201","0116",0.2857143
37,"5301","0116",0.1428571
38,"5302","0116",0.1428571
39,"5399","0116",0.1428571
40,"0603","0119",0.5714286
41,"1214","0119",0.2857143
42,"1209","0119",0.1428571
43,"0806","0121",1.0
44,"0803","0122",0.2727273
45,"0804","0122",0.2727273
46,"0807","0122",0.2727273
47,"0810","0122",0.1818182
48,"0805","0123",1.0
49,"0810","0124",0.1428571
50,"0809","0124",0.4285714
51,"0808","0124",0.4285714
52,"0802","0125",0.3092784
53,"0810","0125",0.2061856
54,"0801","0125",0.2061856
55,"1209","0125",0.1546392
56,"1212","0125",0.1237113
57,"1203","0126",0.5454545
58,"0801","0126",0.1818182
59,"0709","0126",0.2727273
60,"0903","0127",0.3333333
61,"0901","0127",0.1666667
62,"1801","0127",0.3333333
63,"0902","0127",0.1666667
64,"0904","0128",0.0877193
65,"1212","0128",0.0350877
66,"1210","0128",0.1754386
67,"0910","0128",0.0877193
68,"0909","0128",0.0877193
69,"0908","0128",0.0877193
70,"0907","0128",0.0877193
71,"1211","0128",0.1754386
72,"0906","0128",0.0877193
73,"0905","0128",0.0877193
74,"1404","0129",0.2
75,"0604","0129",0.2
76,"4001","0129",0.2
77,"1401","0129",0.4
78,"0602","0130",0.3333333
79,"0601","0130",0.6666667
80,"0102","0141",1.0
81,"0102","0142",0.6666667
82,"0511","0142",0.3333333
83,"0101","0143",1.0
84,"0106","0144",1.0
85,"0104","0145",0.75
86,"5101","0145",0.25
87,"0103","0146",1.0
88,"0105","0147",0.75
89,"0407","0147",0.25
90,"0407","0149",0.047619
91,"0106","0149",0.047619
92,"1521","0149",0.0714286
93,"4103","0149",0.0714286
94,"0307","0149",0.047619
95,"4301","0149",0.1428571
96,"5001","0149",0.1428571
97,"5102","0149",0.1428571
98,"0409","0149",0.1428571
99,"0410","0149",0.1428571
100,"0602","0210",0.6666667
101,"1209","0210",0.3333333
102,"4401","0220",0.3333333
103,"4403","0220",0.6666667
104,"4001","0230",0.2
105,"0604","0230",0.2
106,"4501","0230",0.2
107,"1301","0230",0.4
108,"0508","0300",0.1954397
109,"0301","0300",0.1954397
110,"0302","0300",0.0977199
111,"0306","0300",0.0977199
112,"0307","0300",0.0651466
113,"0308","0300",0.0977199
114,"7101","0300",0.0977199
115,"0106","0300",0.0651466
116,"0511","0300",0.0488599
117,"1212","0300",0.0390879
118,"2701","0510",1.0
119,"2702","0520",1.0
120,"2709","0610",0.6666667
121,"2714","0610",0.3333333
122,"2711","0620",1.0
123,"2601","0710",1.0
124,"2612","0721",1.0
125,"2610","0729",0.0666667
126,"2617","0729",0.0666667
127,"2616","0729",0.0666667
128,"2615","0729",0.0666667
129,"2614","0729",0.0666667
130,"2613","0729",0.0666667
131,"2611","0729",0.0666667
132,"2609","0729",0.0666667
133,"2608","0729",0.0666667
134,"2607","0729",0.0666667
135,"2606","0729",0.0666667
136,"2605","0729",0.0666667
137,"2604","0729",0.0666667
138,"2603","0729",0.0666667
139,"2602","0729",0.0666667
140,"2518","0811",0.0769231
141,"2515","0811",0.1538462
142,"2521","0811",0.1538462
143,"2516","0811",0.1538462
144,"2509","0811",0.1538462
145,"2506","0811",0.0769231
146,"2520","0811",0.0769231
147,"2514","0811",0.1538462
148,"2507","0812",0.2857143
149,"2517","0812",0.1428571
150,"2508","0812",0.2857143
151,"2505","0812",0.2857143
152,"2529","0891",0.0833333
153,"2528","0891",0.1666667
154,"2530","0891",0.0833333
155,"2599","0891",0.0833333
156,"2511","0891",0.1666667
157,"2510","0891",0.1666667
158,"2503","0891",0.0833333
159,"2502","0891",0.1666667
160,"2703","0892",1.0
161,"2501","0893",1.0
162,"2526","0899",0.0952381
163,"2529","0899",0.047619
164,"2524","0899",0.0952381
165,"2519","0899",0.0952381
166,"2513","0899",0.0952381
167,"2512","0899",0.0952381
168,"2530","0899",0.047619
169,"2525","0899",0.0952381
170,"7102","0899",0.047619
171,"2621","0899",0.047619
172,"2714","0899",0.047619
173,"2506","0899",0.047619
174,"7103","0899",0.047619
175,"2504","0899",0.0952381
176,"0208","1011",0.0585366
177,"0206","1011",0.0585366
178,"0201","1011",0.0585366
179,"0511","1011",0.0146341
180,"0510","1011",0.0585366
181,"0507","1011",0.0585366
182,"1501","1011",0.0292683
183,"1502","1011",0.0585366
184,"0506","1011",0.0585366
185,"0504","1011",0.0585366
186,"0502","1011",0.0585366
187,"5101","1011",0.0195122
188,"4103","1011",0.0292683
189,"4102","1011",0.0585366
190,"4101","1011",0.0585366
191,"0209","1011",0.0292683
192,"0205","1011",0.0585366
193,"0204","1011",0.0585366
194,"0203","1011",0.0585366
195,"0202","1011",0.0585366
196,"6701","1012",0.25
197,"0207","1012",0.25
198,"0209","1012",0.125
199,"1501","1012",0.125
200,"0505","1012",0.25
201,"1601","1013",0.3333333
202,"0210","1013",0.3333333
203,"1602","1013",0.1666667
204,"2301","1013",0.1666667
205,"0308","1020",0.0659341
206,"2301","1020",0.0659341
207,"0511","1020",0.032967
208,"1605","1020",0.1318681
209,"0302","1020",0.0659341
210,"0303","1020",0.1318681
211,"0304","1020",0.1318681
212,"0305","1020",0.1318681
213,"0306","1020",0.0659341
214,"1604","1020",0.1318681
215,"0307","1020",0.043956
216,"0710","1031",0.1764706
217,"2004","1031",0.1764706
218,"2005","1031",0.1176471
