"id","code_a732","code_cpf6","util_link_a732_cpf6_naf_a732_id"
1,"01.11Z","011111",36
2,"01.11Z","011112",36
3,"01.11Z","011120",36
4,"01.11Z","011131",36
5,"01.11Z","011132",36
6,"01.11Z","011133",36
7,"01.11Z","011141",36
8,"01.11Z","011142",36
9,"01.11Z","011143",36
10,"01.11Z","011149",36
11,"01.11Z","011150",36
12,"01.11Z","011161",36
13,"01.11Z","011162",36
14,"01.11Z","011169",36
15,"01.11Z","011171",36
16,"01.11Z","011172",36
17,"01.11Z","011173",36
18,"01.11Z","011174",36
19,"01.11Z","011175",36
20,"01.11Z","011176",36
21,"01.11Z","011177",36
22,"01.11Z","011179",36
23,"01.11Z","011181",36
24,"01.11Z","011182",36
25,"01.11Z","011191",36
26,"01.11Z","011192",36
27,"01.11Z","011193",36
28,"01.11Z","011194",36
29,"01.11Z","011195",36
30,"01.11Z","011196",36
31,"01.11Z","011199",36
32,"01.12Z","011210",35
33,"01.13Z","011311",37
34,"01.13Z","011312",37
35,"01.13Z","011313",37
36,"01.13Z","011314",37
37,"01.13Z","011315",37
38,"01.13Z","011316",37
39,"01.13Z","011317",37
40,"01.13Z","011319",37
41,"01.13Z","011321",37
42,"01.13Z","011329",37
43,"01.13Z","011331",37
44,"01.13Z","011332",37
45,"01.13Z","011333",37
46,"01.13Z","011334",37
47,"01.13Z","011339",37
48,"01.13Z","011341",37
49,"01.13Z","011342",37
50,"01.13Z","011343",37
51,"01.13Z","011344",37
52,"01.13Z","011349",37
53,"01.13Z","011351",37
54,"01.13Z","011352",37
55,"01.13Z","011353",37
56,"01.13Z","011354",37
57,"01.13Z","011359",37
58,"01.13Z","011360",37
59,"01.13Z","011371",37
60,"01.13Z","011372",37
61,"01.13Z","011380",37
62,"01.13Z","011390",37
63,"01.14Z","011410",38
64,"01.15Z","011510",39
65,"01.16Z","011611",1
66,"01.16Z","011612",1
67,"01.16Z","011619",1
68,"01.19Z","011910",2
69,"01.19Z","011921",2
70,"01.19Z","011922",2
71,"01.19Z","011931",2
72,"01.19Z","011939",2
73,"01.21Z","012111",3
74,"01.21Z","012112",3
75,"01.22Z","012211",4
76,"01.22Z","012212",4
77,"01.22Z","012213",4
78,"01.22Z","012214",4
79,"01.22Z","012219",4
80,"01.23Z","012311",13
81,"01.23Z","012312",13
82,"01.23Z","012313",13
83,"01.23Z","012314",13
84,"01.23Z","012319",13
85,"01.24Z","012410",5
86,"01.24Z","012421",5
87,"01.24Z","012422",5
88,"01.24Z","012423",5
89,"01.24Z","012424",5
90,"01.24Z","012425",5
91,"01.24Z","012426",5
92,"01.24Z","012427",5
93,"01.24Z","012428",5
94,"01.24Z","012429",5
95,"01.25Z","012511",6
96,"01.25Z","012512",6
97,"01.25Z","012513",6
98,"01.25Z","012519",6
99,"01.25Z","012520",6
100,"01.25Z","012531",6
101,"01.25Z","012532",6
102,"01.25Z","012533",6
103,"01.25Z","012534",6
104,"01.25Z","012535",6
105,"01.25Z","012539",6
106,"01.25Z","012590",6
107,"01.26Z","012611",8
108,"01.26Z","012612",8
109,"01.26Z","012620",8
110,"01.26Z","012690",8
111,"01.27Z","012711",9
112,"01.27Z","012712",9
113,"01.27Z","012713",9
114,"01.27Z","012714",9
115,"01.28Z","012811",28
116,"01.28Z","012812",28
117,"01.28Z","012813",28
118,"01.28Z","012814",28
119,"01.28Z","012815",28
120,"01.28Z","012816",28
121,"01.28Z","012817",28
122,"01.28Z","012818",28
123,"01.28Z","012819",28
124,"01.28Z","012820",28
125,"01.28Z","012830",28
126,"01.29Z","012910",7
127,"01.29Z","012920",7
128,"01.29Z","012930",7
129,"01.30Z","013010",19
130,"01.41Z","014110",18
131,"01.41Z","014120",18
132,"01.42Z","014211",17
133,"01.42Z","014212",17
134,"01.42Z","014220",17
135,"01.43Z","014311",16
136,"01.43Z","014312",16
137,"01.44Z","014410",15
138,"01.45Z","014511",14
139,"01.45Z","014512",14
140,"01.45Z","014521",14
141,"01.45Z","014522",14
142,"01.45Z","014530",14
143,"01.46Z","014610",12
144,"01.47Z","014711",11
145,"01.47Z","014712",11
146,"01.47Z","014713",11
147,"01.47Z","014714",11
148,"01.47Z","014721",11
149,"01.47Z","014722",11
150,"01.47Z","014723",11
151,"01.47Z","014724",11
152,"01.49Z","014911",10
153,"01.49Z","014912",10
154,"01.49Z","014913",10
155,"01.49Z","014919",10
156,"01.49Z","014921",10
157,"01.49Z","014922",10
158,"01.49Z","014923",10
159,"01.49Z","014924",10
160,"01.49Z","014925",10
161,"01.49Z","014926",10
162,"01.49Z","014927",10
163,"01.49Z","014928",10
164,"01.49Z","014931",10
165,"01.49Z","014932",10
166,"01.49Z","014939",10
167,"01.50Z","011111",20
168,"01.50Z","011112",20
169,"01.50Z","011120",20
170,"01.50Z","011131",20
171,"01.50Z","011132",20
172,"01.50Z","011133",20
173,"01.50Z","011141",20
174,"01.50Z","011142",20
175,"01.50Z","011143",20
176,"01.50Z","011149",20
177,"01.50Z","011150",20
178,"01.50Z","011161",20
179,"01.50Z","011162",20
180,"01.50Z","011169",20
181,"01.50Z","011171",20
182,"01.50Z","011172",20
183,"01.50Z","011173",20
184,"01.50Z","011174",20
185,"01.50Z","011175",20
186,"01.50Z","011176",20
187,"01.50Z","011177",20
188,"01.50Z","011179",20
189,"01.50Z","011181",20
190,"01.50Z","011182",20
191,"01.50Z","011191",20
192,"01.50Z","011192",20
193,"01.50Z","011193",20
194,"01.50Z","011194",20
195,"01.50Z","011195",20
196,"01.50Z","011196",20
197,"01.50Z","011199",20
198,"01.50Z","011210",20
199,"01.50Z","011311",20
200,"01.50Z","011312",20
201,"01.50Z","011313",20
202,"01.50Z","011314",20
203,"01.50Z","011315",20
204,"01.50Z","011316",20
205,"01.50Z","011317",20
206,"01.50Z","011319",20
207,"01.50Z","011321",20
208,"01.50Z","011329",20
209,"01.50Z","011342",20
210,"01.50Z","011343",20
211,"01.50Z","011344",20
212,"01.50Z","011349",20
213,"01.50Z","011351",20
214,"01.50Z","011352",20
215,"01.50Z","011353",20
216,"01.50Z","011354",20
217,"01.50Z","011359",20
218,"01.50Z","011360",20
219,"01.50Z","011371",20
220,"01.50Z","011372",20
221,"01.50Z","011380",20
222,"01.50Z","011390",20
223,"01.50Z","011410",20
224,"01.50Z","011510",20
225,"01.50Z","011611",20
226,"01.50Z","011612",20
227,"01.50Z","011619",20
228,"01.50Z","011910",20
229,"01.50Z","011921",20
230,"01.50Z","011922",20
231,"01.50Z","011931",20
232,"01.50Z","011939",20
233,"01.50Z","012111",20
234,"01.50Z","012112",20
235,"01.50Z","012211",20
236,"01.50Z","012212",20
237,"01.50Z","012213",20
238,"01.50Z","012214",20
239,"01.50Z","012219",20
240,"01.50Z","012311",20
241,"01.50Z","012312",20
242,"01.50Z","012313",20
243,"01.50Z","012314",20
244,"01.50Z","012319",20
245,"01.50Z","012410",20
246,"01.50Z","012421",20
247,"01.50Z","012422",20
248,"01.50Z","012423",20
249,"01.50Z","012424",20
250,"01.50Z","012425",20
251,"01.50Z","012426",20
252,"01.50Z","012427",20
253,"01.50Z","012428",20
254,"01.50Z","012429",20
255,"01.50Z","012511",20
256,"01.50Z","012512",20
257,"01.50Z","012513",20
258,"01.50Z","012519",20
259,"01.50Z","012520",20
260,"01.50Z","012531",20
261,"01.50Z","012532",20
262,"01.50Z","012533",20
263,"01.50Z","012534",20
264,"01.50Z","012535",20
265,"01.50Z","012539",20
266,"01.50Z","012590",20
267,"01.50Z","012611",20
268,"01.50Z","012612",20
269,"01.50Z","012620",20
270,"01.50Z","012690",20
271,"01.50Z","012711",20
272,"01.50Z","012712",20
273,"01.50Z","012713",20
274,"01.50Z","012714",20
275,"01.50Z","012811",20
276,"01.50Z","012812",20
277,"01.50Z","012813",20
278,"01.50Z","012814",20
279,"01.50Z","012815",20
280,"01.50Z","012816",20
281,"01.50Z","012817",20
282,"01.50Z","012818",20
283,"01.50Z","012819",20
284,"01.50Z","012820",20
285,"01.50Z","012830",20
286,"01.50Z","012910",20
287,"01.50Z","012920",20
288,"01.50Z","012930",20
289,"01.50Z","013010",20
290,"01.50Z","014110",20
291,"01.50Z","014120",20
292,"01.50Z","014211",20
293,"01.50Z","014212",20
294,"01.50Z","014220",20
295,"01.50Z","014311",20
296,"01.50Z","014312",20
297,"01.50Z","014410",20
298,"01.50Z","014511",20
299,"01.50Z","014512",20
300,"01.50Z","014521",20
301,"01.50Z","014522",20
302,"01.50Z","014530",20
303,"01.50Z","014610",20
304,"01.50Z","014711",20
305,"01.50Z","014712",20
306,"01.50Z","014713",20
307,"01.50Z","014714",20
308,"01.50Z","014721",20
309,"01.50Z","014722",20
310,"01.50Z","014723",20
311,"01.50Z","014724",20
312,"01.50Z","014911",20
313,"01.50Z","014912",20
314,"01.50Z","014913",20
315,"01.50Z","014919",20
316,"01.50Z","014921",20
317,"01.50Z","014922",20
318,"01.50Z","014923",20
319,"01.50Z","014924",20
320,"01.50Z","014925",20
321,"01.50Z","014926",20
322,"01.50Z","014927",20
323,"01.50Z","014928",20
324,"01.50Z","014931",20
325,"01.50Z","014932",20
326,"01.50Z","014939",20
327,"01.50Z","011331",20
328,"01.50Z","011332",20
329,"01.50Z","011333",20
330,"01.50Z","011334",20
331,"01.50Z","011339",20
332,"01.50Z","011341",20
333,"01.61Z","016110",21
334,"01.62Z","016210",22
335,"01.63Z","016310",23
336,"01.64Z","016410",24
337,"01.70Z","017010",25
338,"02.10Z","021011",26
339,"02.10Z","021012",26
340,"02.10Z","021020",26
341,"02.10Z","021030",26
342,"02.20Z","022011",27
343,"02.20Z","022012",27
344,"02.20Z","022013",27
345,"02.20Z","022014",27
346,"02.20Z","022015",27
347,"02.30Z","023011",29
348,"02.30Z","023012",29
349,"02.30Z","023020",29
350,"02.30Z","023030",29
351,"02.30Z","023040",29
352,"02.40Z","024010",30
353,"03.11Z","030011",31
354,"03.11Z","030013",31
355,"03.11Z","030021",31
356,"03.11Z","030031",31
357,"03.11Z","030041",31
358,"03.11Z","030042",31
359,"03.11Z","030046",31
360,"03.11Z","030051",31
361,"03.11Z","030061",31
362,"03.11Z","030062",31
363,"03.11Z","030063",31
364,"03.11Z","030065",31
365,"03.11Z","030069",31
366,"03.11Z","030071",31
367,"03.11Z","030072",31
368,"03.12Z","030011",32
369,"03.12Z","030013",32
370,"03.12Z","030022",32
371,"03.12Z","030031",32
372,"03.12Z","030041",32
373,"03.12Z","030042",32
374,"03.12Z","030046",32
375,"03.12Z","030051",32
376,"03.12Z","030061",32
377,"03.12Z","030062",32
378,"03.12Z","030063",32
379,"03.12Z","030065",32
380,"03.12Z","030069",32
381,"03.12Z","030071",32
382,"03.12Z","030072",32
383,"03.21Z","030012",33
384,"03.21Z","030014",33
385,"03.21Z","030023",33
386,"03.21Z","030032",33
387,"03.21Z","030043",33
388,"03.21Z","030044",33
389,"03.21Z","030045",33
390,"03.21Z","030052",33
391,"03.21Z","030061",33
392,"03.21Z","030064",33
393,"03.21Z","030066",33
394,"03.21Z","030069",33
395,"03.21Z","030071",33
396,"03.21Z","030072",33
397,"03.22Z","030012",34
398,"03.22Z","030014",34
399,"03.22Z","030024",34
400,"03.22Z","030032",34
401,"03.22Z","030043",34
402,"03.22Z","030044",34
403,"03.22Z","030045",34
404,"03.22Z","030052",34
405,"03.22Z","030061",34
406,"03.22Z","030064",34
407,"03.22Z","030066",34
408,"03.22Z","030069",34
409,"03.22Z","030071",34
410,"03.22Z","030072",34
411,"05.10Z","051010",44
412,"05.20Z","052010",45
413,"06.10Z","061010",54
414,"06.10Z","061020",54
415,"06.20Z","062010",53
416,"07.10Z","071010",52
417,"07.21Z","072110",51
418,"07.29Z","072911",50
419,"07.29Z","072912",50
420,"07.29Z","072913",50
421,"07.29Z","072914",50
422,"07.29Z","072915",50
423,"07.29Z","072919",50
424,"08.11Z","081111",48
425,"08.11Z","081112",48
426,"08.11Z","081120",48
427,"08.11Z","081130",48
428,"08.11Z","081140",48
429,"08.12Z","081211",47
430,"08.12Z","081212",47
431,"08.12Z","081213",47
432,"08.12Z","081221",47
433,"08.12Z","081222",47
434,"08.91Z","089111",46
435,"08.91Z","089112",46
436,"08.91Z","089119",46
