"id","activity_naf_code","rome_code","created_at","updated_at","deleted_at","updated_by","factor","rome_chapter"
168023,"01.11Z","A1101","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.037148,"A"
168024,"01.11Z","A1201","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.000923,"A"
168025,"01.11Z","A1202","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.002769,"A"
168026,"01.11Z","A1203","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.035302,"A"
168027,"01.11Z","A1204","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.001615,"A"
168028,"01.11Z","A1205","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.001615,"A"
168029,"01.11Z","A1301","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.003461,"A"
168030,"01.11Z","A1302","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.005538,"A"
168031,"01.11Z","A1303","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.005768,"A"
168032,"01.11Z","A1401","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.028611,"A"
168033,"01.11Z","A1402","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.030457,"A"
168034,"01.11Z","A1403","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.008537,"A"
168035,"01.11Z","A1404","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.000692,"A"
168036,"01.11Z","A1405","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.017997,"A"
168037,"01.11Z","A1407","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.017536,"A"
168038,"01.11Z","A1408","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.001846,"A"
168039,"01.11Z","A1409","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.001846,"A"
168040,"01.11Z","A1410","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.00946,"A"
168041,"01.11Z","A1411","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.000923,"A"
168042,"01.11Z","A1412","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.000231,"A"
168043,"01.11Z","A1413","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.00323,"A"
168044,"01.11Z","A1414","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.038071,"A"
168045,"01.11Z","A1416","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.12898,"A"
168046,"01.11Z","A1501","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.002307,"A"
168047,"01.11Z","B1101","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.000231,"B"
168048,"01.11Z","B1301","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.000231,"B"
168049,"01.11Z","B1501","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.000231,"B"
168050,"01.11Z","B1601","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.000231,"B"
168051,"01.11Z","B1802","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.000231,"B"
168052,"01.11Z","B1806","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.000461,"B"
168053,"01.11Z","C1102","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.000461,"C"
168054,"01.11Z","C1201","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.000231,"C"
168055,"01.11Z","C1205","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.000461,"C"
168056,"01.11Z","C1206","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.000461,"C"
168057,"01.11Z","C1501","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.000231,"C"
168058,"01.11Z","C1502","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.000231,"C"
168059,"01.11Z","C1504","2020-09-02 06:45:33.04957","2020-09-02 06:45:33.04957",NULL,0,0.001154,"C"
