code;Versatility
01.11Z;104.7636369
01.13Z;105.1351717
01.14Z;99.541875
01.19Z;104.3152094
01.21Z;89.0692841
01.22Z;121.4071583
01.23Z;128.20460160000002
01.24Z;81.6784495
01.26Z;132.3949221
01.30Z;101.1689246
01.41Z;94.3981629
01.42Z;52.5071856
10.13B;208.5982033
10.51B;133.2598257
10.61B;133.3498185
10.71D;179.4145495
10.83Z;131.3185867
10.84Z;132.11364
10.91Z;116.3627706
10.92Z;125.0668654
11.01Z;125.3913273
11.02A;119.7777366
11.02B;121.9928736
11.03Z;172.3372023
11.07A;120.9441417
11.07B;133.9014613
13.10Z;115.42220160000001
13.30Z;59.5326121
13.92Z;122.8104029
13.93Z;120.65865629999999
13.96Z;94.15188
22.11Z;58.0904351
22.19Z;124.5301877
22.22Z;125.1078952
22.23Z;135.0043975
22.29B;132.6583143
23.12Z;138.469151
23.32Z;128.7602478
23.61Z;86.2829758
28.25Z;112.3850483
28.29B;123.8682594
28.30Z;110.7046484
28.41Z;125.261508
28.92Z;111.3716913
28.93Z;116.5400282
28.95Z;77.6979423
28.99B;127.0180628
29.10Z;121.3136369
29.20Z;2.0360810000000003
30.99Z;125.46981170000001
31.09A;160.4261889
32.13Z;125.1903787
32.20Z;142.6711941
32.50B;139.3705422
33.13Z;129.8739947
33.16Z;95.3648535
33.20C;124.2598381
35.14Z;130.7552778
35.22Z;126.7295748
41.10A;115.1182247
41.10C;39.2896627
41.20B;90.1124257
42.11Z;92.05644769999999
42.12Z;104.2172992
42.13A;86.9394666
42.13B;94.7334414
42.21Z;92.5380598
42.22Z;120.4740285
42.91Z;87.2023214
42.99Z;2.2982381
46.31Z;43.2709001
46.32A;145.4658695
46.33Z;134.5068827
46.34Z;137.961038
46.38B;137.4729412
46.39A;139.9772232
46.39B;144.2199496
46.43Z;58.035992
46.62Z;85.693792
46.64Z;141.0669365
47.11C;28.4765508
47.11D;122.9003721
47.11E;118.04984560000001
47.11F;129.4826989
47.19A;129.0020003
47.19B;126.86040700000001
47.21Z;130.6964665
47.22Z;141.7631844
47.25Z;159.4102076
47.41Z;147.8891224
47.42Z;152.9105558
47.43Z;12.6430751
47.51Z;139.2659709
47.53Z;143.39215249999998
47.61Z;118.39562240000001
47.71Z;134.93626799999998
47.91A;123.8389501
49.41A;124.1172862
49.41B;127.7432565
49.41C;120.19781359999999
49.42Z;133.6640379
50.30Z;178.239289
50.40Z;80.92849050000001
51.21Z;111.5487679
52.10A;130.0165762
52.10B;28.832263700000002
52.24B;126.0545532
56.10B;200.6566377
58.29C;114.5885958
59.14Z;44.0834093
66.19A;43.4759705
68.20A;111.219296
68.20B;149.0334535
68.31Z;118.4801621
68.32A;103.43637170000001
70.10Z;145.446068
79.11Z;124.08235549999999
80.20Z;133.9429548
84.23Z;107.0560284
86.21Z;120.8579173
86.90A;82.4218022
86.90D;90.7950863
86.90E;102.1626143
87.10A;104.3574253
87.10B;146.6024778
87.30A;109.78893049999999
87.30B;119.1334775
87.90A;156.2007305
87.90B;127.7847999
90.03A;103.4609284
93.19Z;1.2823874
93.29Z;131.7755766
94.11Z;111.040221
94.12Z;106.8067068
94.99Z;117.185886
95.29Z;129.33417500000002
96.01A;87.8561744
96.04Z;105.80944649999999
99.00Z;100.2445974
