siret;code;LocalBackupSuppliers;Versatility;agility_production;resilience_flow
75146503000029;10.71C;1.0;;0.9519263573942388;2.310503586779497
40092564000015;43.12A;1.0;;;
52493785100029;43.91B;1.0;;;
52224889700012;01.13Z;1.0;105.1351717;0.8777646232618486;2.12182386490374
32916815700462;42.11Z;1.0;92.0564477;;
64602020600041;43.12A;1.0;;;
80516039700024;10.71C;1.0;;0.9519263573942388;2.310503586779497
82442192900020;25.73A;1.0;;0.7740539934534899;3.1737052195783693
48122973000017;10.71C;1.0;;0.9519263573942388;2.310503586779497
51007783700027;43.34Z;1.0;;;
30247540500023;42.21Z;1.0;92.5380598;;
71205591200059;43.34Z;1.0;;;
77811981800020;01.62Z;1.0;;;
62202669800010;43.22B;1.0;;;
44136041900028;43.22B;1.0;;;
31780344300017;43.12B;1.0;;;
39178474100038;33.12Z;1.0;;;
42091303000011;43.12A;1.0;;;
51942904700029;43.22A;1.0;;;
48326148300026;25.11Z;1.0;;0.9691114070228496;1.1629586628009994
31221218600042;29.32Z;2.0080437958655897;;0.9686979889441776;0.7296920480625327
49377375800013;43.39Z;1.0;;;
31599920100058;11.02B;1.0;121.9928736;0.5155436624143375;1.2455648252875997
34766427800012;17.23Z;1.0;;0.9569682662070728;1.8081387655205827
89615004200043;10.13A;1.0521073252810582;;0.9455981388463172;3.994990356301415
30491406200019;10.11Z;1.0;;0.5012887285064277;4.690961416627284
33367358000036;28.22Z;1.0;;0.9816311690194904;2.2056334991998114
43448826800047;43.99C;1.0;;;
75147495800012;03.21Z;1.0;;0.6477704429531648;0.4123224842533717
48419593800028;25.11Z;1.0;;0.9691114070228496;1.1629586628009994
47845579300487;10.71A;1.0;;0.9519263573942388;2.310503586779497
38048153100099;43.22B;1.0;;;
43030491500019;03.21Z;1.0;;0.6477704429531648;0.4123224842533717
50744704300013;33.20B;1.0;;;
34402449200029;10.13A;1.0867150338833214;;0.9455981388463172;3.994990356301415
33365979500012;43.99C;1.0;;;
39451475600029;32.91Z;1.0;;0.8567108301070216;0.3283710687870199
39123472100010;01.19Z;1.0;104.3152094;0.7121049165513241;0.70252512395163
81088634100017;10.71C;1.0;;0.9519263573942388;2.310503586779497
31830045600023;26.12Z;1.0;;0.5481426614529726;0.6440068076985096
30655291000011;43.21A;1.0;;;
50321273000033;43.33Z;1.0;;;
82973458100012;10.71C;1.0;;0.9519263573942388;2.310503586779497
39135884300053;28.25Z;1.0;112.3850483;1.0106441419106076;1.7452696705020487
44391056700033;43.21A;1.0;;;
34821455200096;08.92Z;1.0;;;0.2049032694275384
41842315800025;10.82Z;1.0;;0.6747358990281447;4.131245581553453
52844833500018;31.09A;1.3784698032162468;160.4261889;1.020624501398892;1.3995619734848823
30134058405995;43.22B;1.0;;;
44283028700011;43.33Z;1.0;;;
48336849400041;43.21A;1.0;;;
41990142600025;43.99E;1.0;;;
41765236900022;43.91A;1.0;;;
30176828900029;25.62B;1.4120502569960025;;;
51289337100017;10.71C;1.0;;0.9519263573942388;2.310503586779497
30977045100016;16.23Z;1.0;;0.8969233699611064;0.7616620764635289
31316717300043;10.71A;1.0;;0.9519263573942388;2.310503586779497
38440759900016;10.11Z;1.0;;0.5012887285064277;4.690961416627284
44460844200315;35.13Z;1.0;;;
41186348300029;32.12Z;1.0;;0.4308985070860173;3.17243323036125
40107089100122;43.21A;1.0;;;
48902094100022;22.19Z;1.0;124.5301877;0.9569127703324404;5.160086301046203
41955384700023;22.29A;1.0;;0.8730248055797066;
39460433400026;25.11Z;1.0;;0.9691114070228496;1.1629586628009994
45135373400028;10.39A;1.0;;0.8732704581949278;13.092215512128178
52174318700028;01.24Z;1.0;81.6784495;0.960289899215046;0.2731547494344838
57665067500050;08.12Z;1.0;;1.1004749049083982;0.8196130777101537
31312590800027;25.62B;1.0;;;
40752140000017;03.21Z;1.0;;0.6477704429531648;0.4123224842533717
38454039900019;01.24Z;1.0;81.6784495;0.960289899215046;0.2731547494344838
31264685400025;43.22A;1.0;;;
42075119000018;43.34Z;1.0;;;
33424120500031;16.24Z;1.0;;0.9910436792092422;0.8594976093774177
37774171500058;43.22A;1.0;;;
34409669800016;26.52Z;1.0;;0.3556753933533558;1.7236562038115812
49295826900010;11.05Z;1.0;;0.9633955930038214;1.6199269886264325
43197083900046;25.61Z;1.0;;;
31587164001231;35.30Z;1.0;;;
81529594400012;25.62B;1.0;;;
41854529900053;43.21A;1.0;;;
45650053704606;35.30Z;1.0;;;
41027519200020;29.20Z;1.0;2.0360810000000003;0.994497693203196;1.2431052283958417
34077785300037;43.34Z;1.0;;;
45334509200010;43.33Z;1.0;;;
43128412400028;42.11Z;1.0;92.0564477;;
40751002300028;25.11Z;1.0;;0.9691114070228496;1.1629586628009994
43493259600019;10.89Z;1.0;;0.4389932225018033;5.91059886635532
39528641200022;25.11Z;1.0;;0.9691114070228496;1.1629586628009994
56202536100022;25.62B;1.0;;;
30728021400049;43.22B;1.0;;;
71450046900032;25.62B;2.648201027984009;;;
38421422700017;43.32B;1.0;;;
59480054200047;23.61Z;1.0;86.2829758;0.9611103785695616;0.50006134367362
46250020800014;43.32A;1.0;;;
66080046700046;42.22Z;1.0;120.4740285;;
31882671600082;28.22Z;1.0;;0.9816311690194904;2.2056334991998114
53324797900065;10.81Z;1.0;;0.6684255340953;2.169844057199795
83073039600025;24.10Z;1.0;;0.6328182032358145;7.369541431323332
72880004600035;43.32A;1.0;;;
53678005900013;10.61A;1.0;;0.7489110431406506;6.498874703078867
75107616700012;43.22B;1.0;;;
32954170000012;43.91A;1.0;;;
43442963500015;25.62B;1.4120502569960025;;;
41518042100018;23.13Z;1.0;;1.016100855339546;1.0376282273709418
49312678300023;10.11Z;1.0;;0.5012887285064277;4.690961416627284
35550229500403;43.34Z;1.0;;;
48484168900033;43.31Z;1.0;;;
34305826900030;42.22Z;1.0;120.4740285;;
42348164700018;28.25Z;1.0;112.3850483;1.0106441419106076;1.7452696705020487
33420102700029;25.61Z;1.0;;;
65588045800014;20.42Z;1.0;;0.8604447412363934;1.8540695029466
44460844202899;35.13Z;1.0;;;
51080768800021;25.11Z;1.0;;0.9691114070228496;1.1629586628009994
79838342800033;43.32B;1.0;;;
35036191100034;43.99C;1.0;;;
65201681700023;43.32A;1.0;;;
55208131769401;35.13Z;1.0;;;
57206188500065;25.21Z;1.0;;0.914966645043817;0.3918218665811209
47845579300321;10.71B;1.0;;0.9519263573942388;2.310503586779497
37954766400019;43.12A;1.0;;;
48963789200048;43.34Z;1.0;;;
38266499300013;43.91A;1.0;;;
75042314700024;24.53Z;1.0;;;
41003460702330;36.00Z;1.0;;;
58209518800220;27.51Z;1.0;;0.7814480230767552;3.67479449376636
78602068500024;42.11Z;1.0;92.0564477;;
80280499700012;33.20C;1.0;124.2598381;;
56165010200032;10.91Z;1.0;116.3627706;0.4798833328027034;1.6064739572601148
38393191200018;25.62A;1.0;;;
30379300400068;43.99C;1.0;;;
32157963300025;25.62B;2.236150770988007;;;
85480074501497;43.22B;1.0;;;
35265188900086;43.22B;1.0;;;
54208806700732;10.51C;1.0;;1.088002143913113;5.522046553931062
39794819100028;10.71C;1.0;;0.9519263573942388;2.310503586779497
44025228600016;23.70Z;1.0;;1.004539022360356;0.5098657701477531
32468419000030;28.99B;1.0;127.0180628;0.7151201204939546;4.887316458666156
40959090800011;01.13Z;1.0;105.1351717;0.8777646232618486;2.12182386490374
39498610300031;43.12A;1.0;;;
20004163000068;36.00Z;1.0;;;
38823884200024;10.71A;1.0;;0.9519263573942388;2.310503586779497
30948313900023;26.30Z;1.0;;0.7671392135851265;0.8502720354895942
40558054900039;17.21A;1.0;;0.9833594638929604;2.598193218774691
44788445300021;27.33Z;1.0;;1.0114890282194495;0.9215922656364832
44460844213508;35.13Z;1.0;;;
49523783600012;10.12Z;1.0;;0.4389234536012385;3.844264358942199
45165769600022;25.62B;2.648201027984009;;;
32611716500034;43.99C;1.0;;;
43525713400054;43.22A;1.0;;;
33490012300053;25.62B;1.0;;;
39534720600025;10.13B;1.0;208.5982033;0.9455981388463172;3.994990356301415
